Time (Seconds),Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,Data21,Data22,Position
10.14,33.946655,-0.283029,-16.973267,16.845993,6.755604,-20.367775,-0.017048,0.075965,-33.946491,33.941902,0.298356,0.302659,10.605536,-5.090895,16.973293,-21.62468,34.0312,-43.342659,-18.635065,23.351652,11.699322,-7.033497,Right
10.155001,33.946274,-0.250613,-16.973267,16.903011,6.462479,-20.367828,-0.046309,0.057674,-33.946491,33.936928,0.307632,0.527796,10.600686,-5.097671,16.97328,-21.575079,34.01321,-43.333836,-18.680172,23.331612,11.683134,-6.754784,Right
10.17,33.94664,-0.275024,-16.973267,16.84404,6.651498,-20.367857,-0.035367,0.063985,-33.946491,33.938171,0.077099,0.558231,11.72264,-3.63877,16.973267,-21.988878,34.008781,-44.066032,-18.65591,23.712545,13.179028,-5.196326,Right
10.185,33.946613,-0.256883,-16.973267,16.898449,6.505031,-20.36787,-0.049355,0.056595,-33.946491,33.937641,0.2871,0.704739,12.097167,-3.155493,16.973293,-22.076443,34.065731,-44.307602,-18.576653,23.821363,13.661389,-4.370679,Right
10.200001,33.946888,-0.255312,-16.973253,16.847057,6.574194,-20.367857,-0.045284,0.063234,-33.946491,33.932491,0.28542,0.867475,12.704822,-2.346593,16.97328,-22.283369,34.08255,-44.719337,-18.531561,24.030107,14.485616,-3.497972,Right
10.215,33.946476,-0.260982,-16.973267,16.804575,6.653069,-20.36787,-0.034861,0.072496,-33.946491,33.938145,0.321415,0.771443,13.203698,-1.675063,16.973293,-22.441816,34.071648,-45.036942,-18.548826,24.19096,15.160971,-2.837725,Right
10.23,33.946449,-0.255845,-16.973253,16.812046,6.658505,-20.36787,-0.026283,0.078383,-33.946491,33.938568,0.322535,0.769913,13.747696,-0.957483,16.973293,-22.615917,34.011612,-45.40453,-18.611076,24.368162,15.928138,-2.077566,Right
10.245,33.946533,-0.259779,-16.973267,16.800093,6.668696,-20.36787,-0.024589,0.080678,-33.946476,33.937408,0.369691,0.66175,14.26791,-0.263686,16.973293,-22.787355,34.0159,-45.732258,-18.618044,24.536785,16.582743,-1.383619,Right
10.26,33.946438,-0.259247,-16.973253,16.818003,6.641854,-20.36787,-0.023318,0.081539,-33.946476,33.938965,0.426655,0.606275,14.795502,0.436914,16.973307,-22.961771,33.983212,-46.069736,-18.64113,24.708033,17.311005,-0.665001,Right
10.275001,33.946518,-0.263577,-16.973267,16.811705,6.718243,-20.36787,-0.014985,0.087618,-33.946491,33.937515,0.475313,0.592369,15.775524,1.738843,16.973307,-23.294661,33.985329,-46.715816,-18.66188,25.035116,18.578211,0.999311,Right
10.29,33.946545,-0.265203,-16.973238,16.84087,6.691728,-20.36787,-0.017212,0.08453,-33.946491,33.943527,0.502319,0.597109,16.248543,2.355842,16.973307,-23.442139,33.976051,-47.003998,-18.656498,25.179438,19.198187,1.628645,Right
10.305,33.946507,-0.262771,-16.973238,16.85651,6.61721,-20.367884,-0.025914,0.075815,-33.946476,33.936615,0.571127,0.5583,16.84811,3.165806,16.973307,-23.635378,33.964333,-47.404533,-18.671429,25.380465,20.003603,2.509698,Right
10.320001,33.946438,-0.256597,-16.973253,16.857632,6.527243,-20.36787,-0.037266,0.067387,-33.946491,33.943146,0.627435,0.542631,16.911289,3.240392,16.973307,-23.643192,33.959728,-47.438015,-18.658834,25.390463,20.080046,2.811593,Right
10.335,33.946259,-0.247458,-16.973211,16.858833,7.338902,-19.108097,-0.070146,0.027048,-33.946533,33.936123,0.715613,0.428089,15.813855,3.256675,18.390545,-23.679747,36.608463,-47.526493,-20.398634,25.434982,19.310598,3.009081,Right
10.35,33.946507,-0.257457,-16.973225,16.813166,8.517096,-18.054171,-0.083164,0.012431,-33.946533,33.937954,0.611889,0.327822,14.75631,3.159509,19.57621,-23.684515,39.628662,-47.547775,-21.849174,25.441977,18.55735,3.174508,Right
10.365001,33.946545,-0.273385,-16.973156,16.766817,9.872042,-16.750397,-0.080337,0.004726,-33.946533,33.942596,0.365811,0.341947,13.480457,3.025596,21.042938,-23.69256,42.92144,-47.558456,-23.63695,25.452372,17.620426,3.21456,Right
10.38,33.946735,-0.279259,-16.973171,16.771011,11.242082,-15.464054,-0.075815,0.004016,-33.946533,33.939892,0.202133,0.350498,12.179266,2.870332,22.490091,-23.696728,46.372765,-47.571693,-25.388086,25.455009,16.673216,3.23628,Right
10.395,33.946587,-0.287237,-16.973156,16.763922,12.652939,-14.12561,-0.063958,0.006489,-33.946518,33.94104,-0.009521,0.454932,10.832871,2.707118,23.995821,-23.696945,49.923016,-47.569958,-27.246841,25.45755,15.676842,3.282411,Right
10.410001,33.946518,-0.263536,-16.973198,16.815489,14.727705,-11.65804,-0.072277,-0.014931,-33.946575,33.939457,0.149458,0.460737,8.416542,2.386632,26.610336,-23.696672,54.91711,-47.586147,-30.144453,25.45837,13.728694,3.30241,Right
10.425,33.945877,-0.245163,-16.973156,16.842577,15.648018,-11.653709,-0.03385,0.035763,-33.946449,33.928555,0.689467,0.436914,8.305455,2.392164,26.759193,-23.701002,57.25753,-47.57608,-30.66061,25.459024,13.775972,3.324786,Right
10.440001,33.946285,-0.249247,-16.973103,16.860992,17.576727,-9.098235,-0.043932,0.001708,-33.946602,33.939606,0.689904,0.226831,5.827982,2.02985,29.478933,-23.694555,62.294373,-47.590641,-33.674473,25.45927,11.557254,3.290895,Right
10.455,33.946545,-0.265763,-16.973185,16.813904,19.164076,-7.747743,-0.039779,0.009139,-33.946491,33.932846,0.623064,0.083943,4.424446,1.918819,31.148491,-23.691044,66.823502,-47.591583,-35.975414,25.459448,10.852611,3.233084,Right
10.47,33.94664,-0.280297,-16.973198,16.774767,19.741583,-7.391754,-0.019862,0.031952,-33.946507,33.935646,0.54983,0.011912,4.036287,1.873193,31.531746,-23.687807,68.82872,-47.595875,-36.407612,25.459503,10.553762,3.110687,Right
10.485001,33.946671,-0.285147,-16.973198,16.760124,20.038136,-7.061487,-0.006461,0.043959,-33.946491,33.937271,0.516581,-0.016242,3.690857,1.859096,31.933853,-23.685661,70.047241,-47.607609,-36.94463,25.459558,10.369184,3.108365,Right
10.5,33.946163,-0.263864,-16.973267,16.818071,20.203617,-6.948843,0.003483,0.056404,-33.946491,33.936901,1.088596,-0.211572,3.599195,1.859014,32.060158,-23.689268,70.593773,-47.604179,-37.141422,25.459572,10.248535,3.085634,Right
10.515,33.946465,-0.269396,-16.973185,16.816772,20.060526,-6.86531,-0.014248,0.053412,-33.946476,33.938377,1.194381,-0.418855,3.523216,1.866062,32.160698,-23.68528,70.909004,-47.607552,-37.306755,25.459585,10.186817,3.093516,Right
10.530001,33.946518,-0.277729,-16.973211,16.806131,19.974451,-6.831938,-0.036501,0.045981,-33.946491,33.939865,1.217987,-0.619908,3.505267,1.871759,32.198864,-23.684978,71.060349,-47.619507,-37.366585,25.459599,10.151655,3.021293,Right
10.545,33.946751,-0.28624,-16.973211,16.810024,19.941448,-6.810272,-0.055256,0.038864,-33.946491,33.940495,1.196376,-0.807164,3.484885,1.877168,32.224709,-23.680281,71.145096,-47.628345,-37.423958,25.459612,10.12693,2.953401,Right
10.56,33.947227,-0.302796,-16.973267,16.822441,19.35453,-6.800724,-0.06781,0.030517,-33.946507,33.937092,1.025949,-0.894891,3.168183,1.624697,31.511379,-23.357895,69.50592,-47.012028,-36.497963,25.144672,9.364012,2.747293,Right
10.575001,33.947121,-0.304585,-16.973225,16.818439,18.763227,-6.795014,-0.082372,0.024657,-33.946491,33.941723,1.031946,-0.943222,2.891206,1.428288,30.943653,-23.094864,68.099472,-46.487129,-35.777653,24.881191,8.795576,2.435181,Right
10.59,33.947323,-0.31494,-16.973238,16.842331,18.134739,-6.792336,-0.09218,0.022786,-33.946507,33.938446,0.920832,-0.954437,2.549641,1.150409,30.191936,-22.767097,66.360847,-45.846279,-34.798927,24.555254,8.028464,2.093125,Right
10.605,33.947163,-0.307331,-16.973211,16.846075,17.5508,-6.790806,-0.092918,0.023209,-33.946507,33.93996,1.082858,-0.965242,2.218077,0.91168,29.491842,-22.443769,64.621201,-45.197987,-33.903843,24.233675,7.334394,1.747067,Right
10.62,33.946999,-0.305801,-16.973171,16.827852,16.363604,-6.790055,-0.087659,0.020545,-33.946533,33.937202,0.676762,-0.793163,1.562993,0.409361,28.024635,-21.785736,61.65403,-43.93227,-32.233669,23.584248,5.887623,1.164014,Right
10.635,33.947147,-0.309517,-16.973267,16.836718,16.214296,-6.789645,-0.090022,0.029329,-33.946476,33.942051,0.59424,-0.737182,1.565917,0.406396,28.099577,-21.833614,61.316124,-43.965176,-32.166283,23.615435,5.95792,0.990159,Right
10.650001,33.946804,-0.303124,-16.973143,16.829327,15.034708,-6.78944,-0.078383,0.025654,-33.946533,33.930222,0.304422,-0.508002,0.823407,-0.151289,26.37352,-21.046013,58.173748,-42.43647,-30.21199,22.848745,4.255385,0.375114,Right
10.665,33.947174,-0.292523,-16.973253,16.865486,14.324109,-6.789331,-0.079954,0.027813,-33.946507,33.938911,0.381507,-0.417188,0.570744,-0.371958,25.863468,-20.849932,56.007919,-41.981895,-29.384239,22.628567,3.718642,-0.055202,Right
10.68,33.947052,-0.299722,-16.973185,16.822388,13.620408,-6.789277,-0.078738,0.030381,-33.946507,33.935837,0.260025,-0.30602,0.166821,-0.659578,24.939316,-20.427593,53.769981,-41.126549,-28.346283,22.20974,2.797195,-0.488017,Right
10.695001,33.946899,-0.294996,-16.973225,16.833384,12.940845,-6.789249,-0.079217,0.031132,-33.946507,33.939075,0.281964,-0.173309,-0.172817,-0.942662,24.19294,-20.121983,51.819839,-40.476547,-27.39996,21.887465,2.005303,-0.898662,Right
10.71,33.946957,-0.289764,-16.973225,16.830515,12.271514,-6.789236,-0.076006,0.03146,-33.946507,33.936859,0.294422,-0.077482,-0.526088,-1.191649,23.416416,-19.773233,49.856571,-39.741154,-26.481422,21.532705,1.216785,-1.315494,Right
10.725,33.946533,-0.279191,-16.973211,16.834518,11.607975,-6.789236,-0.075719,0.03131,-33.946507,33.938637,0.350758,0.007131,-0.865726,-1.473572,22.634987,-19.446327,47.924583,-39.068436,-25.577488,21.195307,0.423882,-1.747627,Right
10.740001,33.946766,-0.277634,-16.973225,16.833616,10.937647,-6.789222,-0.072277,0.031829,-33.946491,33.936684,0.345703,0.064231,-1.208848,-1.714419,21.886549,-19.110952,46.036392,-38.357784,-24.679428,20.852758,-0.338668,-2.162916,Right
10.755,33.946312,-0.270831,-16.973211,16.870308,9.738798,-6.789222,-0.066089,0.026733,-33.946507,33.940605,0.312809,0.083847,-1.849697,-2.216369,20.407732,-18.467192,43.051064,-37.048943,-22.915735,20.198549,-1.750168,-2.937965,Right
10.77,33.946751,-0.268877,-16.973225,16.836935,8.974473,-6.789222,-0.064163,0.028291,-33.946507,33.933487,0.318178,0.089653,-2.153654,-2.455439,19.746582,-18.172743,40.91301,-36.46384,-22.07703,19.909769,-2.479222,-3.42508,Right
10.785001,33.946587,-0.273563,-16.973225,16.831703,8.211909,-6.789222,-0.071498,0.028113,-33.946507,33.937325,0.330827,0.103354,-2.550502,-2.738004,18.859465,-17.776674,38.766598,-35.665993,-20.988802,19.507826,-3.309759,-3.849536,Right
10.8,33.946545,-0.274533,-16.973225,16.79829,7.501091,-6.789222,-0.079449,0.023182,-33.946518,33.940903,0.299422,0.081634,-2.910439,-3.032249,18.084469,-17.449139,36.81509,-34.977264,-20.056591,19.172546,-4.02361,-4.354369,Right
10.815001,33.946518,-0.275625,-16.973225,16.806679,6.866608,-6.789222,-0.077823,0.021433,-33.946491,33.93943,0.333586,0.069122,-3.275731,-3.284351,17.312836,-17.102589,34.88063,-34.265816,-19.09087,18.82,-4.762213,-4.847795,Right
10.83,33.946423,-0.281076,-16.973225,16.789629,6.859873,-6.789222,-0.058945,0.033919,-33.946507,33.939335,0.367847,0.086661,-3.301044,-3.312013,17.25012,-17.083218,34.698811,-34.207951,-19.019016,18.794987,-4.939648,-4.962815,Right
10.845,33.94664,-0.276486,-16.973238,16.82583,6.778403,-8.048968,-0.0518,0.055707,-33.946491,33.936859,0.293917,0.270708,-2.780051,-3.989582,17.076662,-17.950624,34.282318,-36.398678,-18.874928,20.29084,-4.764166,-6.100588,Right
10.860001,33.946941,-0.275216,-16.973267,16.834503,6.691509,-10.354758,-0.051158,0.072632,-33.946507,33.931248,0.235723,0.24698,-1.664353,-5.14458,17.044327,-19.625401,34.186913,-39.829346,-18.858877,22.833801,-4.016684,-7.978849,Right
10.875,33.946285,-0.271486,-16.973238,16.799889,6.867496,-11.459746,-0.027608,0.05863,-33.946465,33.936287,0.425944,0.270134,-1.120643,-5.720502,17.003361,-20.491892,34.093052,-42.907127,-18.767366,24.486624,-3.630409,-9.131785,Right
10.89,33.946587,-0.277183,-16.973267,16.832195,6.8883,-12.995008,-0.009603,0.063849,-33.946507,33.942516,0.454385,0.281472,-0.379499,-6.461755,16.99194,-21.622795,34.052563,-45.861359,-18.759689,26.361799,-3.004778,-10.469355,Right
10.905001,33.946411,-0.268454,-16.973238,16.834545,6.891074,-14.317456,-0.001749,0.061909,-33.946491,33.934238,0.8017,0.290843,0.277961,-7.127849,16.981844,-22.629784,34.070213,-48.724602,-18.70211,28.068771,-2.714262,-11.664884,Right
10.92,33.947079,-0.282606,-16.973267,16.837618,6.830257,-16.810953,0.004658,0.081375,-33.946476,33.938896,0.943181,0.268303,1.553499,-8.417443,16.978308,-24.591427,34.080296,-52.529526,-18.666771,30.866964,-2.279944,-13.992052,Right
10.935,33.946587,-0.275639,-16.973253,16.826103,6.885787,-18.100508,0.007882,0.069231,-33.946491,33.932449,1.093636,0.300583,2.171194,-9.007489,16.975739,-25.488682,34.08498,-55.922993,-18.698408,32.771126,-1.371762,-15.002224,Right
10.950001,33.946709,-0.27803,-16.973238,16.833384,6.869122,-19.696299,0.013988,0.071184,-33.946465,33.939785,1.121585,0.316702,2.929414,-9.788522,16.974701,-26.681465,34.07531,-59.077969,-18.687656,34.728615,-0.803312,-16.420609,Right
10.965,33.946613,-0.278098,-16.973253,16.83807,6.823496,-19.805363,0.015095,0.046937,-33.946476,33.935509,1.104483,0.222227,3.011335,-9.847836,16.974031,-26.743935,34.058453,-59.770168,-18.730577,34.924095,-0.457732,-16.48749,Right
10.98,33.94701,-0.295255,-16.97328,16.816349,6.682398,-20.161913,0.007445,0.050871,-33.946476,33.931725,1.033695,-0.289136,3.700419,-9.985942,16.97373,-25.92453,34.023384,-57.806229,-18.706713,33.258034,0.670014,-15.986031,Right
10.995,33.946533,-0.267457,-16.973253,16.80982,6.497928,-20.224041,-0.014494,0.044328,-33.946507,33.930794,1.349236,-0.446831,4.181251,-10.005025,16.973553,-25.046181,34.030651,-55.280628,-18.666348,31.614405,1.73286,-15.396858,Right
11.01,33.946915,-0.302441,-16.973293,16.729046,6.414367,-20.307793,-0.033564,0.039738,-33.946491,33.940754,1.124317,-0.920395,4.773073,-10.065978,16.973457,-24.055134,34.00631,-52.390091,-18.637825,29.531389,2.884539,-14.94664,Right
11.025001,33.945412,-0.29098,-16.973238,16.658216,6.404259,-20.330276,-0.042921,0.034055,-33.946491,33.94339,0.882884,-0.44343,5.829717,-10.074939,16.973417,-22.008535,33.959045,-47.965084,-18.667467,26.368561,5.091524,-13.767107,Right
11.04,33.94664,-0.291553,-16.973293,16.714689,6.289976,-20.350809,-0.064641,0.026255,-33.946491,33.935768,0.994831,-0.742892,6.337896,-10.103981,16.973389,-21.019949,33.964565,-44.007648,-18.653671,23.570915,6.043939,-13.156133,Right
11.055,33.945724,-0.28501,-16.973238,16.775314,6.37564,-20.357885,-0.068848,0.023564,-33.946507,33.938351,0.773478,-0.652065,6.486071,-10.121548,16.973362,-20.763351,33.934525,-42.697437,-18.67177,23.157524,6.342855,-13.211102,Right
11.070001,33.946735,-0.297509,-16.973211,16.815338,6.661484,-20.363075,-0.044587,0.03329,-33.946476,33.936493,0.665069,-0.667692,7.537223,-8.915596,16.973389,-20.859903,33.944866,-42.26244,-18.667536,22.82346,7.840702,-11.716452,Right
11.085,33.946217,-0.270557,-16.973253,16.845213,6.491508,-20.365179,-0.053016,0.034055,-33.946491,33.927189,0.897501,-0.628132,7.912829,-8.473,16.97332,-20.866802,34.029968,-42.137829,-18.586788,22.769924,8.205161,-11.000375,Right
11.1,33.946804,-0.277073,-16.973253,16.809561,6.623972,-20.366531,-0.042484,0.053057,-33.946465,33.928253,1.185065,-0.611575,8.520361,-7.728578,16.973349,-21.014484,34.090923,-42.22509,-18.525482,22.806713,8.950758,-10.207608,Right
11.115001,33.94693,-0.28833,-16.973253,16.802799,6.769414,-20.367119,-0.020914,0.069081,-33.946465,33.935493,1.287067,-0.596098,9.035808,-7.077428,16.973349,-21.142851,34.088711,-42.447563,-18.620831,22.913795,9.59367,-9.438365,Right
11.13,33.946709,-0.288698,-16.973267,16.797388,6.744703,-20.367474,-0.014384,0.078643,-33.946491,33.936668,1.404533,-0.529107,9.566718,-6.384984,16.973362,-21.30862,34.110279,-42.718792,-18.526655,23.04801,10.251035,-8.664231,Right
11.145,33.946835,-0.296772,-16.973267,16.770573,6.858903,-20.367651,-0.000451,0.088574,-33.946476,33.938774,1.376351,-0.398227,10.552738,-5.092821,16.973362,-21.636236,34.104626,-43.32423,-18.636457,23.357868,11.520658,-7.068071,Right
11.160001,33.946545,-0.274697,-16.973253,16.863258,6.73723,-20.367746,-0.004986,0.084107,-33.946476,33.94257,1.426335,-0.263946,11.032026,-4.482421,16.973349,-21.764221,34.05658,-43.618435,-18.679148,23.492285,12.20869,-6.30839,Right
11.175,33.946861,-0.26579,-16.973238,16.935469,6.693421,-20.367788,-0.009835,0.078028,-33.946476,33.931507,1.614165,-0.172927,11.636908,-3.693029,16.97332,-21.963989,34.123829,-44.019356,-18.51712,23.688463,13.002262,-5.263071,Right
11.190001,33.946465,-0.255299,-16.973267,16.867085,6.546695,-20.367815,-0.024411,0.067482,-33.946476,33.938896,1.269678,-0.056923,12.164922,-3.012496,16.97332,-22.114159,33.994358,-44.362064,-18.731342,23.853439,13.739117,-4.306284,Right
11.205,33.945972,-0.241106,-16.973253,16.845337,6.490237,-20.367815,-0.039492,0.060201,-33.946476,33.935467,1.191417,-0.10569,12.687623,-2.326212,16.973349,-22.293301,33.977623,-44.728737,-18.772324,24.028414,14.441452,-3.380848,Right
11.22,33.946354,-0.242841,-16.973267,16.875267,6.707191,-20.367828,-0.020614,0.068548,-33.946491,33.932953,0.951582,0.108231,13.681525,-1.022029,16.973349,-22.609621,33.955658,-45.385937,-18.740427,24.355335,15.816819,-1.953817,Right
11.235001,33.946381,-0.228538,-16.97328,16.896399,6.362745,-20.367828,-0.050776,0.05624,-33.946491,33.932285,0.836111,-0.012581,13.680897,-1.024679,16.973362,-22.577545,33.950329,-45.392563,-18.706223,24.342808,15.853389,-1.514991,Right
11.25,33.946438,-0.24325,-16.973238,16.796515,6.558362,-20.367844,-0.041582,0.067783,-33.946507,33.935509,0.648335,-0.06587,14.788534,0.449672,16.973362,-22.978067,33.957119,-46.137394,-18.748446,24.727074,17.32513,-0.209564,Right
11.265,33.946411,-0.245846,-16.973253,16.813959,6.56164,-20.367828,-0.03855,0.068275,-33.946491,33.938843,0.720544,-0.25676,15.168239,0.964587,16.973362,-23.075508,33.953033,-46.370087,-18.684761,24.83782,17.859114,0.463456,Right
11.280001,33.94656,-0.254616,-16.973253,16.804396,6.621349,-20.367844,-0.031719,0.073629,-33.946476,33.938118,0.745788,-0.409839,15.784076,1.779141,16.973375,-23.290331,33.962776,-46.787247,-18.697699,25.047493,18.661251,1.24498,Right
11.295,33.946709,-0.267771,-16.973253,16.796295,6.646471,-20.367828,-0.028113,0.076129,-33.946507,33.941135,0.731281,-0.527605,16.29884,2.458568,16.973362,-23.451427,33.967995,-47.105656,-18.685308,25.208807,19.312771,2.029236,Right
11.31,33.946671,-0.273426,-16.973238,16.809614,6.604807,-20.367844,-0.029903,0.074599,-33.946491,33.940685,0.695737,-0.598502,16.834873,3.173484,16.973375,-23.62859,33.958363,-47.464134,-18.688217,25.386271,20.03759,2.797796,Right
11.325001,33.946545,-0.266828,-16.973198,16.85498,7.39036,-19.108068,-0.060174,0.033755,-33.946518,33.937187,0.786223,-0.714233,15.6762,3.100974,18.390612,-23.628889,36.608162,-47.504566,-20.401775,25.397457,19.160416,3.117175,Right
11.34,33.946735,-0.285338,-16.973198,16.802908,8.538556,-18.054144,-0.071977,0.017881,-33.946518,33.93924,0.398569,-0.712116,14.717391,3.114197,19.576279,-23.664871,39.635315,-47.570412,-21.854284,25.437033,18.532803,3.234149,Right
11.355,33.946846,-0.283972,-16.973198,16.800886,9.812304,-16.75037,-0.080569,0.006106,-33.946518,33.939156,0.355525,-0.713673,13.452071,2.990762,21.042994,-23.667891,42.925758,-47.591789,-23.632359,25.443726,17.578873,3.338269,Right
11.37,33.946735,-0.293603,-16.973171,16.778837,11.195104,-15.464026,-0.078151,0.003087,-33.946533,33.940849,0.166506,-0.594909,12.172859,2.858748,22.490147,-23.677767,46.374008,-47.601707,-25.408796,25.453001,16.660307,3.323133,Right
11.385,33.946873,-0.287537,-16.973185,16.788155,12.583326,-14.125583,-0.073028,0.002691,-33.946518,33.938362,0.122247,-0.481788,10.835658,2.700288,23.99589,-23.677412,49.924217,-47.612347,-27.242197,25.455433,15.662745,3.298285,Right
11.400001,33.946545,-0.268058,-16.973198,16.830187,14.685808,-11.658013,-0.080173,-0.018756,-33.946587,33.939632,0.27945,-0.418595,8.422388,2.388531,26.610403,-23.680731,54.91811,-47.612087,-30.141476,25.457701,13.728298,3.315756,Right
11.415,33.946205,-0.266323,-16.973103,16.814901,15.609237,-11.653669,-0.040967,0.032635,-33.946465,33.932613,0.451762,-0.278795,8.309253,2.395853,26.759274,-23.685799,57.250713,-47.600109,-30.688614,25.458479,13.778486,3.275062,Right
11.43,33.946491,-0.265052,-16.973143,16.858601,17.561646,-9.098222,-0.05042,-0.001544,-33.946602,33.940563,0.475012,-0.340239,5.834157,2.03679,29.479002,-23.681154,62.292747,-47.6115,-33.691753,25.459038,11.559003,3.201091,Right
11.445001,33.946602,-0.273153,-16.973171,16.826609,19.1745,-7.747702,-0.043495,0.018141,-33.946533,33.93264,0.435124,-0.35349,4.43047,1.926387,31.148573,-23.68166,66.822952,-47.606964,-35.983295,25.459299,10.853621,3.146723,Right
11.46,33.946671,-0.284559,-16.973198,16.78825,19.769791,-7.391713,-0.021023,0.041418,-33.946518,33.935261,0.396629,-0.282524,4.042871,1.883411,31.531815,-23.684856,68.828339,-47.604561,-36.412327,25.459448,10.554527,2.972348,Right
11.475,33.946274,-0.272019,-16.973253,16.782896,20.135479,-7.061446,-0.003169,0.054833,-33.946507,33.937832,0.644538,-0.221203,3.713574,1.867688,31.933935,-23.683872,70.035271,-47.603603,-36.97747,25.459517,10.348283,2.98105,Right
11.490001,33.94619,-0.258208,-16.973238,16.839626,20.186077,-6.948802,6.8E-05,0.064067,-33.946476,33.936176,1.082271,-0.325745,3.61123,1.870324,32.060238,-23.688025,70.589485,-47.605011,-37.143486,25.459543,10.251868,2.984957,Right
11.505,33.946381,-0.263181,-16.973185,16.826143,20.06267,-6.865255,-0.017335,0.059327,-33.946476,33.938129,1.164875,-0.437023,3.538407,1.874477,32.160751,-23.68685,70.906845,-47.608906,-37.310223,25.459572,10.185493,2.944741,Right
11.52,33.946476,-0.271131,-16.973211,16.811583,20.000364,-6.831897,-0.037238,0.052046,-33.946476,33.939457,1.194081,-0.555882,3.517575,1.881676,32.198933,-23.685251,71.058609,-47.614273,-37.369839,25.459585,10.150864,2.886793,Right
11.535001,33.946655,-0.279259,-16.973225,16.813152,19.96698,-6.810231,-0.054122,0.045093,-33.946476,33.941723,1.172607,-0.673976,3.497166,1.883343,32.224777,-23.683968,71.142731,-47.620434,-37.425011,25.459585,10.128146,2.860429,Right
11.55,33.946724,-0.286991,-16.973225,16.814547,19.968399,-6.800683,-0.067646,0.040599,-33.946476,33.941723,1.144917,-0.791387,3.493423,1.88602,32.235817,-23.679106,71.183876,-47.633999,-37.428112,25.459599,10.126781,2.846919,Right
11.565001,33.946835,-0.280147,-16.973253,16.829792,19.404787,-6.794973,-0.076703,0.032416,-33.946507,33.939785,1.242125,-0.881805,3.169781,1.629765,31.518236,-23.357649,69.499077,-47.013039,-36.591385,25.144659,9.356704,2.598423,Right
11.58,33.946888,-0.287892,-16.973225,16.84259,18.224598,-6.792282,-0.084435,0.023755,-33.946518,33.938652,0.883499,-0.739067,2.584913,1.184532,30.222454,-22.769815,66.803032,-45.878914,-34.986156,24.566265,8.101875,2.103002,Right
11.595,33.947147,-0.290829,-16.973238,16.833712,17.568367,-6.790765,-0.094571,0.023209,-33.946491,33.941452,0.830442,-0.72762,2.281871,0.958358,29.619307,-22.504995,64.976341,-45.320831,-34.122055,24.291746,7.447543,1.770289,Right
11.610001,33.947174,-0.296184,-16.973198,16.837332,16.904554,-6.790028,-0.095267,0.02463,-33.946476,33.937542,0.708892,-0.671763,1.888356,0.642106,28.737953,-22.117559,62.905045,-44.557682,-33.042324,23.907724,6.587622,1.403659,Right
11.625,33.947105,-0.293616,-16.973211,16.850473,16.280836,-6.789618,-0.092453,0.027225,-33.946476,33.93816,0.668662,-0.6076,1.539675,0.392326,28.016151,-21.791336,61.040146,-43.885906,-32.115002,23.577473,5.857434,1.065195,Right
11.64,33.947025,-0.291062,-16.973198,16.846416,15.648933,-6.789413,-0.085582,0.030422,-33.946476,33.936928,0.768874,-0.658007,1.183522,0.099871,27.211487,-21.444731,59.12101,-43.187874,-31.114531,23.229433,5.060938,0.697458,Right
11.655001,33.947037,-0.292359,-16.973198,16.873381,14.459087,-6.789304,-0.07311,0.031419,-33.946507,33.931656,0.614061,-0.644538,0.532618,-0.390687,25.748011,-20.775345,56.148525,-41.925682,-29.423567,22.890984,4.280384,0.306566,Right
11.67,33.946873,-0.289436,-16.973225,16.840746,13.655324,-6.789249,-0.078779,0.030258,-33.946491,33.937996,0.62499,-0.656723,0.222145,-0.621916,25.107872,-20.520771,53.98452,-41.247211,-28.547747,22.234957,2.864814,-0.259165,Right
11.685,33.947132,-0.300228,-16.973211,16.826813,12.952949,-6.789222,-0.077618,0.031542,-33.946476,33.93425,0.417229,-0.573244,-0.171588,-0.942102,24.186287,-20.1026,51.852993,-40.508144,-27.438482,21.946873,2.141633,-0.746977,Right
11.700001,33.946915,-0.300993,-16.973225,16.804136,12.266077,-6.789195,-0.075706,0.031924,-33.946491,33.940441,0.41768,-0.50792,-0.510953,-1.183221,23.452166,-19.787127,49.903301,-39.766769,-26.498579,21.544575,1.299293,-1.139959,Right
11.715,33.946777,-0.298206,-16.973238,16.815775,11.579575,-6.789195,-0.076785,0.03131,-33.946491,33.937542,0.366686,-0.410153,-0.867489,-1.477629,22.637461,-19.43992,47.952095,-39.084309,-25.556532,21.209404,0.476269,-1.651267,Right
11.73,33.946491,-0.297113,-16.973211,16.801022,10.372107,-6.789195,-0.067906,0.02661,-33.946507,33.938076,0.373065,-0.423936,-1.505278,-1.95756,21.17024,-18.790998,44.943573,-37.727631,-23.840433,20.542027,-0.976826,-2.307702,Right
11.745,33.946804,-0.300501,-16.973238,16.807224,9.596334,-6.789195,-0.074804,0.025982,-33.946476,33.938103,0.361399,-0.322371,-1.821133,-2.188174,20.527519,-18.51458,42.840134,-37.143703,-22.928112,20.253368,-1.692111,-2.805787,Right
11.76,33.946587,-0.297441,-16.973225,16.811951,8.935472,-6.789195,-0.071485,0.028004,-33.946491,33.939102,0.356754,-0.233483,-2.209484,-2.501611,19.604856,-18.115929,40.625568,-36.334026,-21.909882,19.848585,-2.587166,-3.336479,Right
